ADM_CD,ADM_NM,lat,lon,area_km2
21020570,서대신4동,35.127968,129.010124,3.8399
21020590,부민동,35.10466,129.017916,0.4071
21020610,아미동,35.100304,129.013388,0.7212
21020630,초장동,35.094123,129.017518,0.4427
21020640,충무동,35.097446,129.022793,0.3692
21020650,남부민1동,35.090206,129.021708,0.4711
21020680,암남동,35.070361,129.014478,3.7899
21020690,남부민2동,35.08492,129.021673,0.6503
21030510,초량1동,35.114913,129.037114,0.2616
21030520,초량2동,35.117864,129.035266,0.3487
21030530,초량3동,35.117473,129.045471,1.8212
21030550,초량6동,35.123523,129.030457,1.2846
21030560,수정1동,35.124996,129.040554,0.2031
21030570,수정2동,35.132065,129.038991,0.9433
21030590,수정4동,35.13036,129.033689,0.6562
21030600,수정5동,35.136454,129.041719,0.7125
21030660,범일2동,35.136128,129.061772,0.8803
21030680,범일5동,35.126935,129.056998,1.3483
21030700,좌천동,35.13423,129.05064,0.6
21030710,범일1동,35.14119,129.048143,1.0648
21040530,남항동,35.089097,129.036993,0.7748
21040540,영선1동,35.089206,129.043183,0.1736
21040550,영선2동,35.079887,129.045277,0.659
21040590,봉래1동,35.094341,129.043003,0.2946
21040630,청학1동,35.096,129.057239,0.7736
21040640,청학2동,35.089707,129.063316,1.813
21040650,동삼1동,35.075308,129.067112,3.4256
21040660,동삼2동,35.063687,129.082548,3.9823
21040670,동삼3동,35.084247,129.068814,0.9191
21040680,신선동,35.084377,129.049031,1.1079
21040690,봉래2동,35.093522,129.051057,0.7059
21050520,부전2동,35.154457,129.057447,0.6969
21050540,연지동,35.171971,129.053354,1.034
21050550,초읍동,35.185947,129.040581,5.9328
21050560,양정1동,35.172101,129.066793,1.11
21050570,양정2동,35.172184,129.075633,0.9727
21050610,전포2동,35.161944,129.070397,1.2361
21050640,부암1동,35.164442,129.04926,0.8255
21050660,부암3동,35.175402,129.033167,1.8332
21050680,당감2동,35.159007,129.041978,0.8456
21050700,당감4동,35.170989,129.029507,0.941
21050720,가야2동,35.145664,129.027533,1.4616
21050740,개금1동,35.15131,129.021673,0.5671
21050750,개금2동,35.142016,129.018307,0.9186
21050760,개금3동,35.159867,129.021434,2.052
21050770,범천1동,35.145752,129.060207,0.5405
21050800,당감1동,35.16882,129.024033,2.3937
21050810,가야1동,35.148,129.0364,1.7451
21050820,부전1동,35.164197,129.05939,1.2512
21050830,전포1동,35.154084,129.071574,1.6584
21050840,범천2동,35.14879,129.04919,1.7287
21060510,수민동,35.19778,129.088668,1.2307
21060520,복산동,35.205689,129.090217,0.7763
21060550,온천1동,35.220233,129.074721,2.0672
21060560,온천2동,35.213932,129.065559,2.484
21060570,온천3동,35.206198,129.063964,1.6768
21060580,사직1동,35.199025,129.062709,0.4103
21060590,사직2동,35.198867,129.053624,1.911
21060600,사직3동,35.198913,129.071214,0.6998
21060610,안락1동,35.198802,129.098739,0.8349
21060620,안락2동,35.19449,129.109397,1.4303
